scientific_name,datetime,description,place_guess,latitude,longitude,tag_list,common_name,url,image_url,user_login,id,species_guess,iconic_taxon_name,taxon_id,num_identification_agreements,num_identification_disagreements,observed_on_string,observed_on,time_observed_at,time_zone,positional_accuracy,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,user_id,user_name,created_at,updated_at,quality_grade,license,sound_url,oauth_application_id,captive_cultivated
Dryobates nuttallii,2024-11-15 17:02:00 -0800,,"Sonoma County, CA, USA",38.2058462261,-122.5185581469,,Nuttall's Woodpecker,https://www.inaturalist.org/observations/252328851,https://static.inaturalist.org/photos/451677447/medium.jpg,bradain,252328851,Nuttall's Woodpecker,Aves,792987,0,0,2024/11/15 5:02 PM,2024-11-15,2024-11-16 01:02:00 UTC,Pacific Time (US & Canada),15,15,,open,false,,,5317481,Bradain Bello,2024-11-19 23:02:07 UTC,2024-11-19 23:04:43 UTC,research,,,NA,false
Dryobates nuttallii,2024-11-19 13:43:05 -0800,,"California, US",37.3403886879,-122.0832507958,,Nuttall's Woodpecker,https://www.inaturalist.org/observations/252321762,https://static.inaturalist.org/photos/451664076/medium.jpeg,sophia76136,252321762,Nuttall's Woodpecker,Aves,792987,1,0,2024-11-19 13:43:05-08:00,2024-11-19,2024-11-19 21:43:05 UTC,Pacific Time (US & Canada),5,28417,obscured,open,true,,,8782221,Sophia Ellis,2024-11-19 21:45:05 UTC,2024-11-20 01:27:22 UTC,research,,,3,false
Dryobates nuttallii,2024-10-13 16:36:33 -0700,,"Superior Ct, Tracy, CA, US",37.7156331963,-121.4148726669,,Nuttall's Woodpecker,https://www.inaturalist.org/observations/252321286,https://inaturalist-open-data.s3.amazonaws.com/photos/451663349/medium.jpeg,hosmani,252321286,Nuttall's Woodpecker,Aves,792987,0,0,2024-10-13 16:36:33-07:00,2024-10-13,2024-10-13 23:36:33 UTC,Pacific Time (US & Canada),6,6,,open,false,,,2318586,,2024-11-19 21:41:48 UTC,2024-11-19 21:45:18 UTC,research,CC-BY,,3,false
Dryobates nuttallii,2024-11-05 09:39:53 -0800,,"Superior Ct, Tracy, CA, US",37.7156331963,-121.4148726669,,Nuttall's Woodpecker,https://www.inaturalist.org/observations/252314665,https://inaturalist-open-data.s3.amazonaws.com/photos/451649748/medium.jpeg,hosmani,252314665,Nuttall's Woodpecker,Aves,792987,0,0,2024-11-05 09:39:53-08:00,2024-11-05,2024-11-05 17:39:53 UTC,Pacific Time (US & Canada),6,6,,open,false,,,2318586,,2024-11-19 20:39:51 UTC,2024-11-19 21:09:28 UTC,research,CC-BY,,3,false
Dryobates nuttallii,2024-11-06 14:09:01 -0800,,"Superior Ct, Tracy, CA, US",37.7156817353,-121.4148538281,,Nuttall's Woodpecker,https://www.inaturalist.org/observations/252313387,https://inaturalist-open-data.s3.amazonaws.com/photos/451647415/medium.jpeg,hosmani,252313387,Nuttall's Woodpecker,Aves,792987,0,0,2024-11-06 14:09:01-08:00,2024-11-06,2024-11-06 22:09:01 UTC,Pacific Time (US & Canada),8,8,,open,false,,,2318586,,2024-11-19 20:28:26 UTC,2024-11-19 21:19:57 UTC,research,CC-BY,,3,false
Dryobates nuttallii,2024-11-18 13:19:40 -0800,Male and female Nuttall's Woodpeckers on Whalers Knoll,"Carmel Highlands, California, United States",36.520147,-121.946264,,Nuttall's Woodpecker,https://www.inaturalist.org/observations/252300300,https://static.inaturalist.org/photos/451620758/medium.jpg,tomclifton,252300300,Nuttall's Woodpecker,Aves,792987,0,0,2024-11-18 13:19:40,2024-11-18,2024-11-18 21:19:40 UTC,Pacific Time (US & Canada),NA,NA,,open,false,,,31681,Tom Clifton,2024-11-19 18:27:37 UTC,2024-11-19 19:38:15 UTC,research,CC-BY-NC-SA,,NA,false
Dryobates nuttallii,2024-11-15 11:47:54 -0800,,"Griffith Park, Los Angeles, CA, US",34.1300929678,-118.2844293189,,Nuttall's Woodpecker,https://www.inaturalist.org/observations/252284402,https://inaturalist-open-data.s3.amazonaws.com/photos/451590965/medium.jpeg,rgk2300,252284402,Nuttall's Woodpecker,Aves,792987,0,0,2024-11-15 11:47:54-08:00,2024-11-15,2024-11-15 19:47:54 UTC,Pacific Time (US & Canada),4,4,,open,false,,,1277668,,2024-11-19 15:58:19 UTC,2024-11-19 18:07:41 UTC,research,CC-BY-NC,,3,false
Dryobates nuttallii,2024-11-18 00:22:00 -0800,,"Clear lake state park Lake County, CA, USA",39.0188921494,-122.8117710522,,Nuttall's Woodpecker,https://www.inaturalist.org/observations/252243480,https://static.inaturalist.org/photos/451511809/medium.jpeg,sambomorris,252243480,Nuttall's Woodpecker,Aves,792987,0,0,2024/11/18 12:22 AM,2024-11-18,2024-11-18 08:22:00 UTC,Pacific Time (US & Canada),43,43,,open,false,,,7362090,,2024-11-19 06:16:29 UTC,2024-11-19 13:05:40 UTC,research,CC-BY-NC,,NA,false
Dryobates nuttallii,2024-11-18 07:00:00 -0800,,"Corona, CA, USA",33.8984240997,-117.5072305997,,Nuttall's Woodpecker,https://www.inaturalist.org/observations/252237052,https://inaturalist-open-data.s3.amazonaws.com/photos/451497647/medium.jpg,komalt1,252237052,Nuttall's Woodpecker,Aves,792987,1,0,2024/11/18 7:00 AM,2024-11-18,2024-11-18 15:00:00 UTC,Pacific Time (US & Canada),NA,NA,,open,false,,,279411,,2024-11-19 04:26:11 UTC,2024-11-19 05:49:14 UTC,research,CC-BY-NC,,NA,false
Dryobates nuttallii,2024-11-17 11:17:00 -0800,,"El Cajon, CA, USA",32.7867905504,-116.9855076341,,Nuttall's Woodpecker,https://www.inaturalist.org/observations/252227326,https://inaturalist-open-data.s3.amazonaws.com/photos/451477518/medium.jpg,artzerphotog,252227326,Nuttall's Woodpecker,Aves,792987,0,0,2024/11/17 11:17 AM,2024-11-17,2024-11-17 19:17:00 UTC,Pacific Time (US & Canada),8,8,,open,false,,,6655081,,2024-11-19 02:24:55 UTC,2024-11-19 13:07:11 UTC,research,CC-BY-NC,,NA,false
